Paper,Adaptive Systems,Evaluation of Systems and Algorithms,Model Steering and Active Learning,Replication,Report Generation,Understanding the User,Grammar,Graph,Model,Sequence,Classification Models,Pattern Analysis,Probabilistic Models/Prediction,Program Synthesis,Interactive Visual Analysis
Srinivasanetal.(2018)\cite{srinivasan_graphiti:_2018},1,1,0,0,0,0,3,0,0,0,0,0,0,2,0
Setluretal.(2016)\cite{setlur_eviza:_2016},1,0,1,0,0,0,3,0,0,0,2,0,2,0,0
DabekandCaban(2016)\cite{dabek_grammar-based_2016},1,0,0,0,0,1,3,0,0,0,2,0,0,0,0
Mutluetal.(2016)\cite{mutlu_vizrec:_2016},1,0,0,0,0,1,3,0,0,0,0,2,2,0,0
Chenetal.(2014)\cite{chen_employing_2014},1,0,0,0,0,0,3,0,0,0,0,0,0,2,0
Kochetal.(2014)\cite{koch_iterative_2009},1,0,0,0,0,0,3,0,0,0,0,0,0,2,0
Scheepensetal.(2015)\cite{scheepens_rationale_2015},1,1,0,1,1,0,0,3,0,0,0,0,0,0,2
ShrinivasanandvanWijk(2009)\cite{shrinivasan_supporting_2009},1,0,0,1,1,0,0,3,0,0,0,2,0,0,0
GotzandWen(2009)\cite{gotz_behavior-driven_2009},1,0,0,0,0,1,0,3,0,0,0,2,2,0,2
Endert(2014)\cite{endert_semantic_2014},1,0,1,0,0,1,0,0,3,0,0,0,0,0,2
Endertetal.(2012)\cite{endert_semantic_2012},1,0,1,0,0,0,0,0,3,0,0,0,2,0,0
MacInnesetal.(2010)\cite{macinnes_visual_2010},1,0,1,0,0,0,0,0,3,0,2,2,0,0,0
Boukhelifaetal.(2013)\cite{boukhelifa_evolutionary_2013},1,0,1,1,0,1,0,0,3,0,0,0,2,0,0
Endert(2015)\cite{endert_semantic_2015},1,0,0,0,0,1,0,0,3,0,2,0,2,0,0
Ottleyetal.(2019)\cite{ottley_follow_2019},1,0,0,0,0,1,0,0,3,0,0,0,2,0,0
Gotzetal.(2016)\cite{gotz_adaptive_2016},1,0,0,0,0,1,0,0,3,0,0,0,2,0,0
HealeyandBennis(2012)\cite{healey_interest_2012},1,0,0,0,0,1,0,0,3,0,2,0,2,0,0
Huetal.(2019)\cite{hu_vizml:_2019},1,0,0,0,0,0,0,0,3,0,0,0,2,0,0
CorrellandGleicher(2016)\cite{correll_semantics_2016},1,1,0,0,0,0,0,0,0,3,2,2,0,0,0
Setluretal.(2019)\cite{setlur_inferencing_2019},1,0,0,0,0,1,0,0,0,3,0,0,0,0,2
Steichenetal.(2014)\cite{steichen_inferring_2014},1,0,0,0,0,1,0,0,0,3,2,2,0,0,0
Guoetal.(2019)\cite{guo_visualizing_2019},1,0,0,0,0,0,0,0,0,3,0,0,2,0,0
Wangetal.(2014)\cite{wang_visual_2014},1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Leeetal.(2019)\cite{lee_avoiding_2019},1,0,1,0,1,0,0,0,0,0,0,0,2,0,0
Cenedaetal.(2019)\cite{ceneda_review_2019},1,0,1,0,1,0,0,0,0,0,2,0,2,0,0
Raganetal.(2015)\cite{ragan_characterizing_2015},1,0,1,0,1,1,0,0,0,0,2,2,0,0,0
Micallefetal.(2017)\cite{micallef_interactive_2017},1,0,1,0,0,1,0,0,0,0,0,0,2,0,0
Wegbaetal.(2018)\cite{wegba_interactive_2018},1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
Tokeretal.(2014)\cite{toker_towards_2014},1,0,0,0,0,1,0,0,0,0,2,0,2,0,0
SteichenandConati(2013)\cite{steichen_user-adaptive_2013},1,0,0,0,0,1,0,0,0,0,2,0,2,0,0
KhanandNandi(2019)\cite{khan_flux_2019},1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Sachaetal.(2018)\cite{sacha_somflow:_2018},1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Walchetal.(2019)\cite{walch2019lightguider},1,0,0,0,0,0,0,3,0,0,0,0,0,0,2
Dextras-RomagninoandMunzner(2019)\cite{dextrasromagnino_segmentifier:_2019},0,1,0,0,0,1,0,3,0,0,0,2,0,0,0
Renetal.(2019)\cite{ren_charticulator:_2019},0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
Borsetal.(2019)\cite{bors_capturing_2019},0,1,0,0,0,0,0,3,0,0,0,2,0,0,0
ShadoanandWeaver(2013)\cite{shadoan_visual_2013},0,1,0,0,0,0,0,3,0,0,0,2,0,0,0
GomezandLaidlaw(2012)\cite{gomez_modeling_2012},0,1,0,0,1,1,0,0,3,0,0,0,2,0,0
Liuetal.(2017)\cite{liu_patterns_2017},0,1,0,1,0,0,0,0,0,3,2,2,0,0,0
Smucetal.(2009)\cite{smuc_score_2009},0,1,0,1,0,0,0,0,0,3,0,0,0,0,2
Bylinksiietal.(2017)\cite{bylinskii_learning_2017},0,1,0,0,0,1,0,0,0,3,2,2,0,0,0
Fr{\"o}hleretal.(2016)\cite{frohler_gemse:_2016},0,1,0,0,0,0,0,0,0,3,2,0,0,0,0
Blaschecketal.(2016)\cite{blascheck_va2:_2016},0,1,0,0,0,0,0,0,0,3,0,0,0,0,2
Moritzetal.(2015)\cite{moritz_perfopticon:_2015},0,0,1,0,0,0,3,0,0,3,0,2,0,0,0
