Paper#Ref,Adaptive Systems,Evaluation of Systems and Algorithms,Model Steering and Active Learning,Replication,Report Generation,Understanding the User,Grammar,Graph,Model,Sequence,Classification Models,Pattern Analysis,Probabilistic Models/Prediction,Program Synthesis,Interactive Visual Analysis
Srinivasan et al. (2018)#RGXHI7X3,1,1,0,0,0,0,3,0,0,0,0,0,0,2,0
Setlur et al. (2016)#ZLBRWV6T,1,0,1,0,0,0,3,0,0,0,2,0,2,0,0
Dabek and Caban (2016)#JW73WHI6,1,0,0,0,0,1,3,0,0,0,2,0,0,0,0
Mutlu et al. (2016)#KSUN2DYH,1,0,0,0,0,1,3,0,0,0,0,2,2,0,0
Chen et al. (2014)#QHJVQK6L,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0
Koch et al. (2014)#V676W7IQ,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0
Scheepens et al. (2015)#9YN7BS7M,1,1,0,1,1,0,0,3,0,0,0,0,0,0,2
Shrinivasan and van Wijk (2009)#FCS2V457,1,0,0,1,1,0,0,3,0,0,0,2,0,0,0
Gotz and Wen (2009)#U2PILWLY,1,0,0,0,0,1,0,3,0,0,0,2,2,0,2
Endert (2014)#IKTBZGDP,1,0,1,0,0,1,0,0,3,0,0,0,0,0,2
Endert et al. (2012)#NXKKXLPH,1,0,1,0,0,0,0,0,3,0,0,0,2,0,0
MacInnes et al. (2010)#8AH3YAIT,1,0,1,0,0,0,0,0,3,0,2,2,0,0,0
Boukhelifa et al. (2013)#EQ9N5WMA,1,0,1,1,0,1,0,0,3,0,0,0,2,0,0
Endert (2015)#ED33BT8U,1,0,0,0,0,1,0,0,3,0,2,0,2,0,0
Ottley et al. (2019)#HNAWLERW,1,0,0,0,0,1,0,0,3,0,0,0,2,0,0
Gotz et al. (2016)#3KWJPTB4,1,0,0,0,0,1,0,0,3,0,0,0,2,0,0
Healey and Bennis (2012)#7F3I4DLN,1,0,0,0,0,1,0,0,3,0,2,0,2,0,0
Hu et al. (2019)#E2ZNXVEV,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0
Correll and Gleicher (2016)#LSFUBTEL,1,1,0,0,0,0,0,0,0,3,2,2,0,0,0
Setlur et al. (2019)#2K7GDFTD,1,0,0,0,0,1,0,0,0,3,0,0,0,0,2
Steichen et al. (2014)#V9MC4W62,1,0,0,0,0,1,0,0,0,3,2,2,0,0,0
Guo et al. (2019)#PP263ZZK,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0
Wang et al. (2014)#DEAZAH27,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Lee et al. (2019)#PNPP9ST3,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0
Ceneda et al. (2019)#VYZVVW9A,1,0,1,0,1,0,0,0,0,0,2,0,2,0,0
Ragan et al. (2015)#KQ5QYSEH,1,0,1,0,1,1,0,0,0,0,2,2,0,0,0
Micallef et al. (2017)#9VRHFQQ2,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0
Wegba et al. (2018)#NKCRW296,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
Toker et al. (2014)#BS55T5ZS,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0
Steichen and Conati (2013)#INSEJCQU,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0
Khan and Nandi (2019)#7I97WMYU,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Sacha et al. (2018)#NBR25CIW,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Walch et al. (2019)#3YPQL4MC,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2
Dextras-Romagnino and Munzner (2019)#KCZ6HA82,0,1,0,0,0,1,0,3,0,0,0,2,0,0,0
Ren et al. (2019)#E5LEI9YV,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
Bors et al. (2019)#EQSZ7SBT,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0
Shadoan and Weaver (2013)#QE2HCYLN,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0
Gomez and Laidlaw (2012)#9VKCFY9H,0,1,0,0,1,1,0,0,3,0,0,0,2,0,0
Liu et al. (2017)#3V8Q22ZU,0,1,0,1,0,0,0,0,0,3,2,2,0,0,0
Smuc et al. (2009)#E5NQI22K,0,1,0,1,0,0,0,0,0,3,0,0,0,0,2
Bylinksii et al. (2017)#V29B6PWV,0,1,0,0,0,1,0,0,0,3,2,2,0,0,0
Fröhler et al. (2016)#QKRIRBKI,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0
Blascheck et al. (2016)#UFWTHT75,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2
Moritz et al. (2015)#H76LSXQH,0,0,1,0,0,0,3,0,0,3,0,2,0,0,0
Wongsuphasawat et al. (2016)#U47GRW4J,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0
Muthumanickam et al. (2016)#LPHXG32B,0,0,1,0,0,0,3,0,0,0,0,2,0,2,0
Hoque et al. (2018)#E6T356LJ,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0
Weaver (2009)#PQMLCJSP,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0
Ferreira et al. (2013)#B2ARTX48,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0
Kadivar et al. (2009)#7Z8TRCT8,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0
Shrinivasan et al. (2009)#N4WNSJPN,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0
Schlinder et al. (2013)#YPUI6A4X,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2
Kwon et al. (2017)#2G8Q7TN6,0,0,1,0,1,0,0,0,3,0,0,2,0,0,0
Bradel et al. (2014)#R26CWHUC,0,0,1,0,0,1,0,0,3,0,0,0,0,2,0
Pezzotti et al. (2015)#JGVV4JK3,0,0,1,0,0,0,0,0,3,0,2,0,2,0,0
Brown et al. (2012)#QX6ZTMBL,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0
Endert et al. (2012)#C53PABJ7,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0
Cook et al. (2015)#8TLX5VAD,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0
Kunkel et al. (2017)#MDNHBVY6,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0
Kim et al. (2016)#VST4SLQH,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2
Fuchs et al. (2009)#IBX4QNCT,0,0,1,0,0,0,0,0,3,3,0,0,2,0,0
Brown et al. (2014)#XCR27ASF,0,0,1,0,0,1,0,0,0,3,2,0,2,0,0
Cavallo and Demiralp (2018)#D2LSEWVB,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0
Ribicic et al. (2013)#HG2IUVX7,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2
Hossain et al. (2012)#2KWCN9LW,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0
Sherkat et al. (2018)#48IKB24F,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2
