Paper,Adaptive Systems,Evaluation of Systems and Algorithms,Model Steering and Active Learning,Replication,Report Generation,Understanding the User,Grammar,Graph,Model,Sequence,Classification Models,Pattern Analysis,Probabilistic Models/Prediction,Program Synthesis,Interactive Visual Analysis,Ref
Srinivasan et al. (2018),1,1,0,0,0,0,3,0,0,0,0,0,0,2,0,RGXHI7X3
Setlur et al. (2016),1,0,1,0,0,0,3,0,0,0,2,0,2,0,0,ZLBRWV6T
Dabek and Caban (2016),1,0,0,0,0,1,3,0,0,0,2,0,0,0,0,JW73WHI6
Mutlu et al. (2016),1,0,0,0,0,1,3,0,0,0,0,2,2,0,0,KSUN2DYH
Chen et al. (2014),1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,QHJVQK6L
Koch et al. (2014),1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,V676W7IQ
Scheepens et al. (2015),1,1,0,1,1,0,0,3,0,0,0,0,0,0,2,9YN7BS7M
Shrinivasan and van Wijk (2009),1,0,0,1,1,0,0,3,0,0,0,2,0,0,0,FCS2V457
Gotz and Wen (2009),1,0,0,0,0,1,0,3,0,0,0,2,2,0,2,U2PILWLY
Endert (2014),1,0,1,0,0,1,0,0,3,0,0,0,0,0,2,IKTBZGDP
Endert et al. (2012),1,0,1,0,0,0,0,0,3,0,0,0,2,0,0,NXKKXLPH
MacInnes et al. (2010),1,0,1,0,0,0,0,0,3,0,2,2,0,0,0,8AH3YAIT
Boukhelifa et al. (2013),1,0,1,1,0,1,0,0,3,0,0,0,2,0,0,EQ9N5WMA
Endert (2015),1,0,0,0,0,1,0,0,3,0,2,0,2,0,0,ED33BT8U
Ottley et al. (2019),1,0,0,0,0,1,0,0,3,0,0,0,2,0,0,HNAWLERW
Gotz et al. (2016),1,0,0,0,0,1,0,0,3,0,0,0,2,0,0,3KWJPTB4
Healey and Bennis (2012),1,0,0,0,0,1,0,0,3,0,2,0,2,0,0,7F3I4DLN
Hu et al. (2019),1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,E2ZNXVEV
Correll and Gleicher (2016),1,1,0,0,0,0,0,0,0,3,2,2,0,0,0,LSFUBTEL
Setlur et al. (2019),1,0,0,0,0,1,0,0,0,3,0,0,0,0,2,2K7GDFTD
Steichen et al. (2014),1,0,0,0,0,1,0,0,0,3,2,2,0,0,0,V9MC4W62
Guo et al. (2019),1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,PP263ZZK
Wang et al. (2014),1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,DEAZAH27
Lee et al. (2019),1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,PNPP9ST3
Ceneda et al. (2019),1,0,1,0,1,0,0,0,0,0,2,0,2,0,0,VYZVVW9A
Ragan et al. (2015),1,0,1,0,1,1,0,0,0,0,2,2,0,0,0,KQ5QYSEH
Micallef et al. (2017),1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,9VRHFQQ2
Wegba et al. (2018),1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,NKCRW296
Toker et al. (2014),1,0,0,0,0,1,0,0,0,0,2,0,2,0,0,BS55T5ZS
Steichen and Conati (2013),1,0,0,0,0,1,0,0,0,0,2,0,2,0,0,INSEJCQU
Khan and Nandi (2019),1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7I97WMYU
Sacha et al. (2018),1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NBR25CIW
Walch et al. (2019),1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3YPQL4MC
Dextras-Romagnino and Munzner (2019),0,1,0,0,0,1,0,3,0,0,0,2,0,0,0,KCZ6HA82
Ren et al. (2019),0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,E5LEI9YV
Bors et al. (2019),0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,EQSZ7SBT
Shadoan and Weaver (2013),0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,QE2HCYLN
Gomez and Laidlaw (2012),0,1,0,0,1,1,0,0,3,0,0,0,2,0,0,9VKCFY9H
Liu et al. (2017),0,1,0,1,0,0,0,0,0,3,2,2,0,0,0,3V8Q22ZU
Smuc et al. (2009),0,1,0,1,0,0,0,0,0,3,0,0,0,0,2,E5NQI22K
Bylinksii et al. (2017),0,1,0,0,0,1,0,0,0,3,2,2,0,0,0,V29B6PWV
Fröhler et al. (2016),0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,QKRIRBKI
Blascheck et al. (2016),0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,UFWTHT75
Moritz et al. (2015),0,0,1,0,0,0,3,0,0,3,0,2,0,0,0,H76LSXQH
Wongsuphasawat et al. (2016),0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,U47GRW4J
Muthumanickam et al. (2016),0,0,1,0,0,0,3,0,0,0,0,2,0,2,0,LPHXG32B
Hoque et al. (2018),0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,E6T356LJ
Weaver (2009),0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,PQMLCJSP
Ferreira et al. (2013),0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,B2ARTX48
Kadivar et al. (2009),0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,7Z8TRCT8
Shrinivasan et al. (2009),0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,N4WNSJPN
Schlinder et al. (2013),0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,YPUI6A4X
Kwon et al. (2017),0,0,1,0,1,0,0,0,3,0,0,2,0,0,0,2G8Q7TN6
Bradel et al. (2014),0,0,1,0,0,1,0,0,3,0,0,0,0,2,0,R26CWHUC
Pezzotti et al. (2015),0,0,1,0,0,0,0,0,3,0,2,0,2,0,0,JGVV4JK3
Brown et al. (2012),0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,QX6ZTMBL
Endert et al. (2012),0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,C53PABJ7
Cook et al. (2015),0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,8TLX5VAD
Kunkel et al. (2017),0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,MDNHBVY6
Kim et al. (2016),0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,VST4SLQH
Fuchs et al. (2009),0,0,1,0,0,0,0,0,3,3,0,0,2,0,0,IBX4QNCT
Brown et al. (2014),0,0,1,0,0,1,0,0,0,3,2,0,2,0,0,XCR27ASF
Cavallo and Demiralp (2018),0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,D2LSEWVB
Ribicic et al. (2013),0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,HG2IUVX7
Hossain et al. (2012),0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,2KWCN9LW
Sherkat et al. (2018),0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,48IKB24F
Gao et al. (2015),0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3BM8YZA5
Hottelier et al. (2014),0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,T6W8KYQH
Callahan et al. (2006),0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,YMXE2ERI
Rübel and Bowen (2018),0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,ZWURRSGQ
Kandel et al. (2011),0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,93PMHRB4
Chung et al. (2010),0,0,0,1,1,0,0,3,0,0,0,0,0,0,2,9MS8EZDR
Gotz et al. (2017),0,0,0,1,0,1,0,0,3,0,0,2,0,0,0,QWR9N3YA
Xu et al. (2018),0,0,0,1,1,0,0,0,0,3,2,0,2,0,0,EL25LM58
Loorak et al. (2018),0,0,0,1,0,1,0,0,0,3,2,0,0,0,0,EDE2JQIA
Smith et al. (2018),0,0,0,1,0,1,0,0,0,3,0,0,2,0,0,XQRRRL2Y
Stitz et al. (2019),0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,PW3BIEXI
Andrienko et al. (2011),0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,KCBNWBND
Cappers and van Wijk (2018),0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,GQUBH7PC
Zgraggen et al. (2015),0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,LXFR6HIF
Ragan et al. (2015),0,0,0,0,1,1,3,0,0,0,0,0,0,2,2,44RDA3W7
Walker et al. (2013),0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,7J3C2AK6
Porteous et al. (2010),0,0,0,0,1,1,0,3,0,0,0,0,0,2,0,3XZBKY9C
Mathisen et al. (2019),0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,TIFVFITN
Gratzl et al. (2016),0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,YMWU3VES
Choe et al. (2015),0,0,0,0,1,1,0,0,0,3,2,0,0,0,2,RD9RMI8J
Willett et al. (2013),0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,MH9PS9PA
Bors et al. (2019),0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,W9NVM37Z
Wall et al. (2018),0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,4WTJ9LXH
Liu et al. (2017),0,0,0,0,0,1,0,0,0,3,2,2,0,0,0,BCS5J4JW
Cho et al. (2017),0,0,0,0,0,1,0,0,0,3,2,2,0,0,0,XQEXTQW6
Blascheck (2018),0,0,0,0,0,1,0,0,0,3,2,0,0,2,0,ZSPP2VUD
Dou et al. (2009),0,0,0,0,0,1,0,0,0,3,2,0,0,2,0,EHPSNKBD
Boukhelifa (2019),0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,6Q6E2Q39
Guo et al. (2015),0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,D7YXW7QW
Feng et al. (2019),0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,VVI899IG
Battle and Heer (2019),0,0,0,0,0,1,0,0,0,3,0,2,2,0,0,N6NU7D2L
Nguyen et al. (2018),0,0,0,0,0,1,0,0,0,3,0,2,2,0,0,RZDXH9PW
Wei et al. (2012),0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,YL9XZFNS
Blascheck et al. (2016),0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,XWY72EPW
Toker et al. (2017),0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,WVRN8R2T
Yu and Silva (2020),0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,C54948XU
Mannino and Abouzied (2019),0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,MENJWCDP
Kodagoda et al. (2013),0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,L4RLQJB5
Madanagopal et al. (2019),0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,T8C23C3F
Kondo and Collins (2014),0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,SFGPVJXT
