Paper,Adaptive Systems,Evaluation of Systems and Algorithms,Model Steering and Active Learning,Replication,Report Generation,Understanding the User,Grammar,Graph,Model,Sequence,Classification Models,Pattern Analysis,Probabilistic Models/Prediction,Program Synthesis,Interactive Visual Analysis
Srinivasan et al. (2018),1,1,0,0,0,0,3,0,0,0,0,0,0,2,0
Setlur et al. (2016),1,0,1,0,0,0,3,0,0,0,2,0,2,0,0
Dabek and Caban (2016),1,0,0,0,0,1,3,0,0,0,2,0,0,0,0
Mutlu et al. (2016),1,0,0,0,0,1,3,0,0,0,0,2,2,0,0
Chen et al. (2014),1,0,0,0,0,0,3,0,0,0,0,0,0,2,0
Koch et al. (2014),1,0,0,0,0,0,3,0,0,0,0,0,0,2,0
Scheepens et al. (2015),1,1,0,1,1,0,0,3,0,0,0,0,0,0,2
Shrinivasan and van Wijk (2009),1,0,0,1,1,0,0,3,0,0,0,2,0,0,0
Gotz and Wen (2009),1,0,0,0,0,1,0,3,0,0,0,2,2,0,2
Endert (2014),1,0,1,0,0,1,0,0,3,0,0,0,0,0,2
Endert et al. (2012),1,0,1,0,0,0,0,0,3,0,0,0,2,0,0
MacInnes et al. (2010),1,0,1,0,0,0,0,0,3,0,2,2,0,0,0
Boukhelifa et al. (2013),1,0,1,1,0,1,0,0,3,0,0,0,2,0,0
Endert (2015),1,0,0,0,0,1,0,0,3,0,2,0,2,0,0
Ottley et al. (2019),1,0,0,0,0,1,0,0,3,0,0,0,2,0,0
Gotz et al. (2016),1,0,0,0,0,1,0,0,3,0,0,0,2,0,0
Healey and Bennis (2012),1,0,0,0,0,1,0,0,3,0,2,0,2,0,0
Hu et al. (2019),1,0,0,0,0,0,0,0,3,0,0,0,2,0,0
Correll and Gleicher (2016),1,1,0,0,0,0,0,0,0,3,2,2,0,0,0
Setlur et al. (2019),1,0,0,0,0,1,0,0,0,3,0,0,0,0,2
Steichen et al. (2014),1,0,0,0,0,1,0,0,0,3,2,2,0,0,0
Guo et al. (2019),1,0,0,0,0,0,0,0,0,3,0,0,2,0,0
Wang et al. (2014),1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Lee et al. (2019),1,0,1,0,1,0,0,0,0,0,0,0,2,0,0
Ceneda et al. (2019),1,0,1,0,1,0,0,0,0,0,2,0,2,0,0
Ragan et al. (2015),1,0,1,0,1,1,0,0,0,0,2,2,0,0,0
Micallef et al. (2017),1,0,1,0,0,1,0,0,0,0,0,0,2,0,0
Wegba et al. (2018),1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
Toker et al. (2014),1,0,0,0,0,1,0,0,0,0,2,0,2,0,0
Steichen and Conati (2013),1,0,0,0,0,1,0,0,0,0,2,0,2,0,0
Khan and Nandi (2019),1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Sacha et al. (2018),1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Walch et al. (2019),1,0,0,0,0,0,0,3,0,0,0,0,0,0,2
Dextras-Romagnino and Munzner (2019),0,1,0,0,0,1,0,3,0,0,0,2,0,0,0
Ren et al. (2019),0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
Bors et al. (2019),0,1,0,0,0,0,0,3,0,0,0,2,0,0,0
Shadoan and Weaver (2013),0,1,0,0,0,0,0,3,0,0,0,2,0,0,0
Gomez and Laidlaw (2012),0,1,0,0,1,1,0,0,3,0,0,0,2,0,0
Liu et al. (2017),0,1,0,1,0,0,0,0,0,3,2,2,0,0,0
Smuc et al. (2009),0,1,0,1,0,0,0,0,0,3,0,0,0,0,2
Bylinksii et al. (2017),0,1,0,0,0,1,0,0,0,3,2,2,0,0,0
Fröhler et al. (2016),0,1,0,0,0,0,0,0,0,3,2,0,0,0,0
Blascheck et al. (2016),0,1,0,0,0,0,0,0,0,3,0,0,0,0,2
Moritz et al. (2015),0,0,1,0,0,0,3,0,0,3,0,2,0,0,0
Wongsuphasawat et al. (2016),0,0,1,0,0,0,3,0,0,0,2,0,0,0,0
Muthumanickam et al. (2016),0,0,1,0,0,0,3,0,0,0,0,2,0,2,0
Hoque et al. (2018),0,0,1,0,0,0,3,0,0,0,0,0,2,0,0
Weaver (2009),0,0,1,0,0,0,3,0,0,0,0,0,0,2,0
Ferreira et al. (2013),0,0,1,0,0,0,3,0,0,0,0,0,0,2,0
Kadivar et al. (2009),0,0,1,0,0,0,3,0,0,0,0,0,0,2,0
Shrinivasan et al. (2009),0,0,1,0,0,0,0,3,0,0,0,0,0,2,0
Schlinder et al. (2013),0,0,1,0,0,0,0,3,0,0,0,0,0,0,2
Kwon et al. (2017),0,0,1,0,1,0,0,0,3,0,0,2,0,0,0
Bradel et al. (2014),0,0,1,0,0,1,0,0,3,0,0,0,0,2,0
Pezzotti et al. (2015),0,0,1,0,0,0,0,0,3,0,2,0,2,0,0
Brown et al. (2012),0,0,1,0,0,0,0,0,3,0,2,0,0,0,0
Endert et al. (2012),0,0,1,0,0,0,0,0,3,0,2,0,0,0,0
Cook et al. (2015),0,0,1,0,0,0,0,0,3,0,0,2,0,0,0
Kunkel et al. (2017),0,0,1,0,0,0,0,0,3,0,0,0,2,0,0
Kim et al. (2016),0,0,1,0,0,0,0,0,3,0,0,0,0,0,2
Fuchs et al. (2009),0,0,1,0,0,0,0,0,3,3,0,0,2,0,0
Brown et al. (2014),0,0,1,0,0,1,0,0,0,3,2,0,2,0,0
Cavallo and Demiralp (2018),0,0,1,0,0,0,0,0,0,3,0,0,0,2,0
Ribicic et al. (2013),0,0,1,0,0,0,0,0,0,3,0,0,0,0,2
Hossain et al. (2012),0,0,1,0,0,0,0,0,0,3,2,0,0,0,0
Sherkat et al. (2018),0,0,1,0,0,0,0,0,0,0,2,0,0,0,2
Gao et al. (2015),0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Hottelier et al. (2014),0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Callahan et al. (2006),0,0,0,1,0,0,0,3,0,0,0,0,0,2,0
Rübel and Bowen (2018),0,0,0,1,0,0,3,0,0,0,2,0,0,0,0
Kandel et al. (2011),0,0,0,1,0,0,3,0,0,0,0,0,0,2,0
Chung et al. (2010),0,0,0,1,1,0,0,3,0,0,0,0,0,0,2
Gotz et al. (2017),0,0,0,1,0,1,0,0,3,0,0,2,0,0,0
Xu et al. (2018),0,0,0,1,1,0,0,0,0,3,2,0,2,0,0
Loorak et al. (2018),0,0,0,1,0,1,0,0,0,3,2,0,0,0,0
Smith et al. (2018),0,0,0,1,0,1,0,0,0,3,0,0,2,0,0
Stitz et al. (2019),0,0,0,1,0,0,0,0,0,3,0,2,0,0,0
Andrienko et al. (2011),0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Cappers and van Wijk (2018),0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
Zgraggen et al. (2015),0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Ragan et al. (2015),0,0,0,0,1,1,3,0,0,0,0,0,0,2,2
Walker et al. (2013),0,0,0,0,1,0,3,0,0,0,0,0,0,2,0
Porteous et al. (2010),0,0,0,0,1,1,0,3,0,0,0,0,0,2,0
Mathisen et al. (2019),0,0,0,0,1,0,0,3,0,0,0,0,0,0,2
Gratzl et al. (2016),0,0,0,0,1,0,0,3,0,0,0,0,0,0,2
Choe et al. (2015),0,0,0,0,1,1,0,0,0,3,2,0,0,0,2
Willett et al. (2013),0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
Bors et al. (2019),0,0,0,0,0,1,0,3,0,0,0,0,0,0,2
